time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-01-28 12:22:56.128 UTC, ,589,6194301,248136,2833840,214144, ,97, , , , , , , , , , , ,97,29, , , ,36,5,38, , , , , , , , , , , , , , , , ,595873,2, ,558889, , , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1453983296049,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,674553648,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-28 12:23:56.131 UTC, ,589,6194301,248136,2833840,214144, ,97, , , , , , , , , , , ,97,29, , , ,36,5,38, , , , , , , , , , , , , , , , ,595873,2, ,558889, , , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1453983296049,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,674553648,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-28 12:24:56.136 UTC, ,589,6194301,248136,2833840,214144, ,97, , , , , , , , , , , ,97,29, , , ,36,5,38, , , , , , , , , , , , , , , , ,595873,2, ,558889, , , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1453983296049,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,674553648,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-28 12:25:56.141 UTC, ,589,6194301,248136,2833840,214144, ,97, , , , , , , , , , , ,97,29, , , ,36,5,38, , , , , , , , , , , , , , , , ,595873,2, ,558889, , , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1453983296049,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,674553648,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-28 12:26:56.144 UTC, ,589,6194301,248136,2833840,214144, ,97, , , , , , , , , , , ,97,29, , , ,36,5,38, , , , , , , , , , , , , , , , ,595873,2, ,558889, , , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1453983296049,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,674553648,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-28 12:27:56.150 UTC, ,589,6194301,248136,2833840,214144, ,97, , , , , , , , , , , ,97,29, , , ,36,5,38, , , , , , , , , , , , , , , , ,595873,2, ,558889, , , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1453983296049,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,674553648,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-28 12:28:56.151 UTC, ,589,6194301,248136,2833840,214144, ,97, , , , , , , , , , , ,97,29, , , ,36,5,38, , , , , , , , , , , , , , , , ,595873,2, ,558889, , , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1453983296049,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,674553648,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-28 12:29:56.156 UTC, ,589,6194301,248136,2833840,214144, ,97, , , , , , , , , , , ,97,29, , , ,36,5,38, , , , , , , , , , , , , , , , ,595873,2, ,558889, , , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1453983296049,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,674553648,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-28 12:30:56.159 UTC, ,589,6194301,248136,2833840,214144, ,97, , , , , , , , , , , ,97,29, , , ,36,5,38, , , , , , , , , , , , , , , , ,595873,2, ,558889, , , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1453983296049,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,674553648,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-28 12:31:56.164 UTC, ,589,6194301,248136,2833840,214144, ,97, , , , , , , , , , , ,97,29, , , ,36,5,38, , , , , , , , , , , , , , , , ,595873,2, ,558889, , , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1453983296049,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,674553648,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-28 12:32:56.166 UTC, ,589,6194301,248136,2833840,214144, ,97, , , , , , , , , , , ,97,29, , , ,36,5,38, , , , , , , , , , , , , , , , ,595873,2, ,558889, , , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1453983296049,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,674553648,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
